"Date","Price","Open","High","Low","Change %"
"02/12/2021","104.630","104.800","104.890","104.630","-0.53%"
"02/11/2021","105.190","105.140","105.190","104.900","0.05%"
"02/10/2021","105.140","105.110","105.140","104.900","0.18%"
"02/09/2021","104.950","104.910","105.170","104.910","-0.11%"
"02/08/2021","105.070","104.810","105.070","104.810","0.15%"
"02/05/2021","104.910","105.160","105.160","104.910","-0.10%"
"02/04/2021","105.010","105.190","105.190","105.010","0.00%"
"02/03/2021","105.010","105.370","105.370","105.010","-0.24%"
"02/02/2021","105.260","105.350","105.350","105.110","-0.26%"
"02/01/2021","105.530","105.310","105.530","105.310","0.09%"
"01/29/2021","105.440","105.660","105.660","105.410","-0.26%"
"01/28/2021","105.710","105.510","105.710","105.510","0.28%"
"01/27/2021","105.410","105.620","105.620","105.410","-0.24%"
"01/26/2021","105.660","105.630","105.660","105.410","0.35%"
"01/25/2021","105.290","105.290","105.290","105.110","0.20%"
"01/22/2021","105.080","104.810","105.080","104.810","-0.05%"
"01/21/2021","105.130","105.440","105.440","105.130","-0.35%"
"01/20/2021","105.500","105.770","105.770","105.500","0.15%"
"01/19/2021","105.340","105.590","105.590","105.340","0.09%"
"01/18/2021","105.250","105.700","105.700","105.250","-0.47%"
"01/15/2021","105.750","105.510","105.750","105.510","0.23%"
"01/14/2021","105.510","105.700","105.700","105.510","0.19%"
"01/13/2021","105.310","105.550","105.550","105.310","-0.31%"
"01/12/2021","105.640","105.400","105.640","105.400","-0.16%"
"01/11/2021","105.810","105.810","106.000","105.700","-0.29%"
"01/08/2021","106.120","106.120","106.120","105.810","0.18%"
"01/07/2021","105.930","105.630","105.930","105.630","-0.21%"
"01/05/2021","106.150","106.150","106.150","105.830","0.20%"
"01/04/2021","105.940","105.940","105.940","105.940","0.31%"
"12/28/2020","105.610","105.610","105.610","105.610","-0.20%"
"12/23/2020","105.820","105.820","105.820","105.820","-0.26%"
"12/22/2020","106.100","105.950","106.100","105.850","0.28%"
"12/21/2020","105.800","106.110","106.360","105.800","-0.42%"
"12/18/2020","106.250","105.820","106.250","105.820","-0.09%"
"12/17/2020","106.350","106.030","106.350","106.030","0.04%"
"12/16/2020","106.310","106.310","106.310","106.310","-0.22%"
"12/15/2020","106.540","106.520","106.540","106.220","0.08%"
"12/14/2020","106.450","106.120","106.450","106.120","0.52%"
"12/11/2020","105.900","105.820","106.550","105.820","-0.22%"
"12/10/2020","106.130","106.030","106.300","106.030","0.22%"
"12/08/2020","105.900","105.900","105.900","105.900","-0.13%"
"12/07/2020","106.040","106.040","106.040","105.640","0.49%"
"12/04/2020","105.520","105.860","105.860","105.520","-0.17%"
"12/03/2020","105.700","105.350","105.700","105.350","0.32%"
"12/02/2020","105.360","105.210","105.360","105.210","0.14%"
"12/01/2020","105.210","105.550","105.550","105.210","-0.39%"
"11/30/2020","105.620","105.620","105.620","105.620","-0.09%"
"11/27/2020","105.710","105.960","105.960","105.710","-0.36%"
"11/26/2020","106.090","105.610","106.090","105.610","0.18%"
"11/25/2020","105.900","105.710","105.940","105.710","0.00%"
"11/24/2020","105.900","105.630","105.900","105.630","0.27%"
"11/23/2020","105.620","105.620","105.620","105.620","0.01%"
"11/20/2020","105.610","105.540","105.820","105.540","-0.16%"
"11/19/2020","105.780","105.800","105.800","105.530","0.25%"
"11/18/2020","105.520","105.520","105.870","105.520","-0.10%"
"11/17/2020","105.630","105.430","105.670","105.430","-0.08%"
"11/16/2020","105.710","105.430","105.710","105.430","0.20%"
"11/13/2020","105.500","105.210","105.500","105.210","0.43%"
"11/12/2020","105.050","104.810","105.050","104.810","0.23%"
"11/11/2020","104.810","104.560","105.020","104.470","0.11%"
"11/10/2020","104.700","104.470","104.700","104.470","-0.85%"
"11/09/2020","105.600","105.610","105.860","105.600","-0.09%"
"11/06/2020","105.690","105.700","105.700","105.690","0.17%"
"11/05/2020","105.510","105.510","105.510","105.510","0.03%"
"11/04/2020","105.480","105.340","105.610","105.340","0.42%"
"11/03/2020","105.040","105.000","105.040","105.000","-0.25%"
"11/02/2020","105.300","105.010","105.300","105.010","0.26%"
"10/30/2020","105.030","105.030","105.290","105.030","0.19%"
"10/29/2020","104.830","104.830","104.830","104.830","-0.10%"
"10/28/2020","104.930","104.710","104.930","104.710","0.38%"
"10/27/2020","104.530","104.550","104.780","104.530","-0.31%"
"10/26/2020","104.850","104.710","104.850","104.710","0.16%"
"10/23/2020","104.680","104.650","104.680","104.650","0.08%"
"10/22/2020","104.600","104.390","104.640","104.390","0.00%"
"10/21/2020","104.600","104.860","104.860","104.380","0.07%"
"10/20/2020","104.530","104.680","105.070","104.530","-0.50%"
"10/19/2020","105.060","105.060","105.060","105.060","-0.26%"
"10/16/2020","105.330","104.970","105.330","104.970","0.31%"
"10/15/2020","105.000","105.000","105.250","105.000","-0.30%"
"10/14/2020","105.320","105.120","105.370","105.120","0.26%"
"10/13/2020","105.050","105.010","105.210","105.010","0.02%"
"10/12/2020","105.030","105.130","105.130","104.920","0.07%"
"10/09/2020","104.960","104.950","105.160","104.950","0.54%"
"10/08/2020","104.400","104.400","104.670","104.400","0.11%"
"10/07/2020","104.290","104.520","104.520","104.250","0.03%"
"10/06/2020","104.260","104.030","104.260","104.030","-0.13%"
"10/05/2020","104.400","104.160","104.400","104.160","0.00%"
"10/02/2020","104.400","104.200","104.470","104.200","0.19%"
"10/01/2020","104.200","103.970","104.200","103.970","-0.06%"
"09/30/2020","104.260","104.260","104.260","104.260","0.02%"
"09/29/2020","104.240","104.210","104.240","104.210","0.22%"
"09/28/2020","104.010","104.180","104.180","104.010","-0.37%"
"09/25/2020","104.400","104.050","104.400","104.050","-0.14%"
"09/24/2020","104.550","104.550","104.550","104.550","-0.13%"
"09/23/2020","104.690","104.480","104.690","104.420","0.33%"
"09/22/2020","104.350","104.160","104.440","104.160","0.32%"
"09/21/2020","104.020","104.020","104.020","103.830","-0.16%"
"09/18/2020","104.190","103.800","104.190","103.800","0.19%"
"09/17/2020","103.990","103.990","103.990","103.770","-0.04%"
"09/16/2020","104.030","104.190","104.240","104.030","0.10%"
"09/15/2020","103.930","103.930","103.930","103.930","0.32%"
